Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<gr::Buffer**, std::vector<gr::Buffer*, std::allocator<gr::Buffer*> > >::difference_type __gnu_cxx::operator-<gr::Buffer**, std::vector<gr::Buffer*, std::allocator<gr::Buffer*> > >(__gnu_cxx::__normal_iterator<gr::Buffer**, std::vector<gr::Buffer*, std::allocator<gr::Buffer*> > > const&, __gnu_cxx::__normal_iterator<gr::Buffer**, std::vector<gr::Buffer*, std::allocator<gr::Buffer*> > > const&)
  0.00      0.00     0.00        1     0.00     0.00  bool __gnu_cxx::operator!=<gm::vector<unsigned int, 3> const*, std::vector<gm::vector<unsigned int, 3>, std::allocator<gm::vector<unsigned int, 3> > > >(__gnu_cxx::__normal_iterator<gm::vector<unsigned int, 3> const*, std::vector<gm::vector<unsigned int, 3>, std::allocator<gm::vector<unsigned int, 3> > > > const&, __gnu_cxx::__normal_iterator<gm::vector<unsigned int, 3> const*, std::vector<gm::vector<unsigned int, 3>, std::allocator<gm::vector<unsigned int, 3> > > > const&)
  0.00      0.00     0.00        1     0.00     0.00  gr::Buffer::getBufferInfo() const
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_Sp_counted_ptr_inplace<gr::Context, std::allocator<gr::Context>, (__gnu_cxx::_Lock_policy)2> >::max_size() const
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<gr::Buffer**, std::vector<gr::Buffer*, std::allocator<gr::Buffer*> > >::operator*() const
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<gr::Buffer**, std::vector<gr::Buffer*, std::allocator<gr::Buffer*> > >::operator-(long) const
  0.00      0.00     0.00        1     0.00     0.00  std::__shared_ptr<gr::Context, (__gnu_cxx::_Lock_policy)2>::operator bool() const
  0.00      0.00     0.00        1     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_get_deleter(std::type_info const&) const
  0.00      0.00     0.00        1     0.00     0.00  std::vector<gm::vector<float, 3>, std::allocator<gm::vector<float, 3> > >::size() const
  0.00      0.00     0.00        1     0.00     0.00  std::vector<gm::vector<unsigned int, 3>, std::allocator<gm::vector<unsigned int, 3> > >::end() const
  0.00      0.00     0.00        1     0.00     0.00  std::vector<gm::vector<unsigned int, 3>, std::allocator<gm::vector<unsigned int, 3> > >::size() const
  0.00      0.00     0.00        1     0.00     0.00  std::vector<gm::vector<unsigned int, 3>, std::allocator<gm::vector<unsigned int, 3> > >::begin() const
  0.00      0.00     0.00        1     0.00     0.00  std::vector<gr::Buffer*, std::allocator<gr::Buffer*> >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const
  0.00      0.00     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const
  0.00      0.00     0.00        1     0.00     0.00  std::type_info::operator==(std::type_info const&) const
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<gm::vector<float, 2> >::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<gm::vector<float, 2> >::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<gm::vector<unsigned int, 3> >::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<gm::vector<unsigned int, 3> >::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<gr::Context>::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<gr::Buffer*>::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<gr::Buffer*>::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::shared_ptr<gr::Context>::shared_ptr()
